"region","soiltype","initdenres_collapsed","pc","pc_ci_l","pc_ci_u","situation"
"north","heavy","LD-LR",-0.668180534673407,-5.84252360143017,4.50616253208335,"Current"
"north","heavy","LD-HR",-2.2881668791913,-5.38058833575974,0.804254577377139,"Current"
"north","heavy","HD-HR",-2.46880668004068,-7.44978717270836,2.51217381262699,"Current"
"north","medium","LD-LR",-0.621453335452829,-5.22394971699772,3.98104304609206,"Current"
"north","medium","LD-HR",-2.08421112195091,-4.87249615867271,0.704073914770892,"Current"
"north","medium","HD-HR",-2.22623897910507,-6.73684451971483,2.28436656150469,"Current"
"north","light","LD-LR",-0.513319805827293,-4.26980619841233,3.24316658675775,"Current"
"north","light","LD-HR",-1.69901520216284,-3.98483352221912,0.586803117893444,"Current"
"north","light","HD-HR",-1.79509052506048,-5.46917500327777,1.8789939531568,"Current"
"central","heavy","LD-LR",-0.668551061703733,-5.84314121120955,4.50603908780208,"Current"
"central","heavy","LD-HR",-2.23153357144719,-5.37042184962746,0.907354706733089,"Current"
"central","heavy","HD-HR",-2.20506609199085,-5.23224367369518,0.822111489713478,"Current"
"central","medium","LD-LR",-0.621453335452829,-5.22394971699772,3.98104304609206,"Current"
"central","medium","LD-HR",-2.04311481937611,-4.86315679506278,0.776927156310551,"Current"
"central","medium","HD-HR",-2.03032263156328,-4.7678903101817,0.707245047055145,"Current"
"central","light","LD-LR",-0.513310007636229,-4.26979946652977,3.24317945125731,"Current"
"central","light","LD-HR",-1.68018313110913,-3.98052295125161,0.620156689033349,"Current"
"central","light","HD-HR",-1.55558230076831,-3.83407961915056,0.722915017613934,"Current"
"east","heavy","LD-LR",0.16122108462109,-5.85059497032505,6.17303713956723,"Current"
"east","heavy","LD-HR",-0.955289646408172,-7.58299312136085,5.67241382854451,"Current"
"east","heavy","HD-HR",-2.47391781396005,-7.9765998515708,3.0287642236507,"Current"
"east","medium","LD-LR",0.154185461479553,-5.09781030967056,5.40618123262967,"Current"
"east","medium","LD-HR",-0.729162413595845,-6.41582719144465,4.95750236425295,"Current"
"east","medium","HD-HR",-2.10416882199008,-6.84792324811985,2.63958560413969,"Current"
"east","light","LD-LR",0.11893369879063,-4.16986433479283,4.40773173237409,"Current"
"east","light","LD-HR",-0.530989683990117,-5.24379785535737,4.18181848737714,"Current"
"east","light","HD-HR",-1.66007278902781,-6.42740211286165,3.10725653480602,"Current"
"north","heavy","LD-LR",0.62892161616669,-4.09994168245599,5.35778491478937,"Worst case"
"north","heavy","LD-HR",-1.28473174961302,-4.19349030347518,1.62402680424914,"Worst case"
"north","heavy","HD-HR",-1.6480035773788,-6.16031653821003,2.86430938345243,"Worst case"
"north","medium","LD-LR",0.56437900076215,-3.63603204172369,4.76479004324799,"Worst case"
"north","medium","LD-HR",-1.11662396317741,-3.71607222799035,1.48282430163554,"Worst case"
"north","medium","HD-HR",-1.40199387513249,-5.47461712017752,2.67062936991253,"Worst case"
"north","light","LD-LR",0.457339844083615,-2.97224547375216,3.88692516191939,"Worst case"
"north","light","LD-HR",-0.900712352096282,-3.03466479920536,1.2332400950128,"Worst case"
"north","light","HD-HR",-1.1477476476705,-4.47412459443312,2.17862929909212,"Worst case"
"central","heavy","LD-LR",0.62892161616669,-4.09994168245599,5.35778491478937,"Worst case"
"central","heavy","LD-HR",-1.22725257914583,-4.18232931622428,1.72782415793261,"Worst case"
"central","heavy","HD-HR",-1.38341759737997,-4.20395583016735,1.43712063540741,"Worst case"
"central","medium","LD-LR",0.56437900076215,-3.63603204172369,4.76479004324799,"Worst case"
"central","medium","LD-HR",-1.07552766060261,-3.70915260517349,1.55809728396827,"Worst case"
"central","medium","HD-HR",-1.2060775275907,-3.72780958127896,1.31565452609756,"Worst case"
"central","light","LD-LR",0.457349642274678,-2.97223986825689,3.88693915280624,"Worst case"
"central","light","LD-HR",-0.881880281042577,-3.03168082856696,1.26792026648181,"Worst case"
"central","light","HD-HR",-0.908239423378335,-3.03615157382808,1.21967272707141,"Worst case"
"east","heavy","LD-LR",1.57065794768001,-3.71612795288161,6.85744384824163,"Worst case"
"east","heavy","LD-HR",0.327292864901023,-5.63843736908595,6.293023098888,"Worst case"
"east","heavy","HD-HR",-1.36743177480179,-6.39376870020984,3.65890515060626,"Worst case"
"east","medium","LD-LR",1.34001779769453,-3.30148495187885,5.98152054726791,"Worst case"
"east","medium","LD-HR",0.238424745177658,-4.9998846913679,5.47673418172322,"Worst case"
"east","medium","HD-HR",-1.2799237180175,-5.67653937571232,3.11669193967732,"Worst case"
"east","light","LD-LR",1.08959334870154,-2.70069820586611,4.87988490326918,"Worst case"
"east","light","LD-HR",0.267313166076436,-4.07345467697872,4.60808100913159,"Worst case"
"east","light","HD-HR",-1.01272991163784,-5.37970243267341,3.35424260939774,"Worst case"
